"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"61",2018,3,"DF",3344,623,2721,1046,2298,33,9,24,10,23,3377,632,2745,1056,2321
"62",2018,3,"ES",4307,1171,3136,1539,2768,28,14,14,11,17,4335,1185,3150,1550,2785
"63",2018,3,"GO",7478,1638,5840,2960,4518,72,21,51,30,42,7550,1659,5891,2990,4560
"64",2018,3,"MA",8628,2998,5630,4473,4155,113,58,55,60,53,8741,3056,5685,4533,4208
"65",2018,3,"MG",19395,4348,15047,6685,12710,191,53,138,70,121,19586,4401,15185,6755,12831
"66",2018,3,"MS",3361,1046,2315,1441,1920,23,13,10,9,14,3384,1059,2325,1450,1934
"67",2018,3,"MT",4492,961,3531,1937,2555,35,17,18,20,15,4527,978,3549,1957,2570
"68",2018,3,"PA",10445,4256,6189,5468,4977,123,55,68,65,58,10568,4311,6257,5533,5035
"69",2018,3,"PB",4298,1488,2810,1755,2543,53,25,28,20,33,4351,1513,2838,1775,2576
"70",2018,3,"PE",9953,3338,6615,4320,5633,100,44,56,42,58,10053,3382,6671,4362,5691
"71",2018,3,"PI",3939,1357,2582,1775,2164,51,23,28,20,31,3990,1380,2610,1795,2195
"72",2018,3,"PR",11819,2975,8844,4316,7503,81,28,53,34,47,11900,3003,8897,4350,7550
"73",2018,3,"RJ",15900,4044,11856,6108,9792,153,67,86,54,99,16053,4111,11942,6162,9891
"74",2018,3,"RN",3573,1183,2390,1407,2166,28,11,17,14,14,3601,1194,2407,1421,2180
"75",2018,3,"RO",2234,693,1541,984,1250,20,13,7,11,9,2254,706,1548,995,1259
"76",2018,3,"RR",1231,387,844,628,603,8,5,3,4,4,1239,392,847,632,607
"77",2018,3,"RS",11186,3217,7969,3712,7474,77,31,46,30,47,11263,3248,8015,3742,7521
"78",2018,3,"SC",7851,1825,6026,2633,5218,53,19,34,18,35,7904,1844,6060,2651,5253
"79",2018,3,"SE",2560,996,1564,1133,1427,34,15,19,12,22,2594,1011,1583,1145,1449
"80",2018,3,"SP",45341,7286,38055,15033,30308,372,94,278,130,242,45713,7380,38333,15163,30550
"81",2018,3,"TO",1989,513,1476,925,1064,19,5,14,12,7,2008,518,1490,937,1071
"82",2018,4,"AC",1125,494,631,554,571,15,6,9,7,8,1140,500,640,561,579
"83",2018,4,"AL",3252,1426,1826,1654,1598,23,11,12,11,12,3275,1437,1838,1665,1610
"84",2018,4,"AM",6097,2267,3830,3116,2981,59,29,30,23,36,6156,2296,3860,3139,3017
"85",2018,4,"AP",964,353,611,502,462,9,3,6,3,6,973,356,617,505,468
"86",2018,4,"BA",13975,4478,9497,5669,8306,180,60,120,56,124,14155,4538,9617,5725,8430
"87",2018,4,"CE",8928,2852,6076,3655,5273,117,54,63,42,75,9045,2906,6139,3697,5348
"88",2018,4,"DF",3175,576,2599,1029,2146,24,4,20,7,17,3199,580,2619,1036,2163
"89",2018,4,"ES",4372,1205,3167,1591,2781,33,12,21,9,24,4405,1217,3188,1600,2805
"90",2018,4,"GO",7449,1615,5834,2993,4456,61,18,43,31,30,7510,1633,5877,3024,4486
"91",2018,4,"MA",8018,2846,5172,4153,3865,110,58,52,45,65,8128,2904,5224,4198,3930
"92",2018,4,"MG",19516,4491,15025,6749,12767,193,55,138,79,114,19709,4546,15163,6828,12881
"93",2018,4,"MS",3290,999,2291,1420,1870,35,14,21,16,19,3325,1013,2312,1436,1889
"94",2018,4,"MT",4315,907,3408,1779,2536,33,10,23,17,16,4348,917,3431,1796,2552
"95",2018,4,"PA",9448,3831,5617,4927,4521,100,47,53,43,57,9548,3878,5670,4970,4578
"96",2018,4,"PB",4296,1546,2750,1778,2518,34,15,19,13,21,4330,1561,2769,1791,2539
