"","year","month","UF","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old"
"61",2018,3,"DF",3344,623,2721,1046,2298,33,0,0,0,0,3377,623,2721,1046,2298
"62",2018,3,"ES",4307,1171,3136,1539,2768,28,0,0,0,0,4335,1171,3136,1539,2768
"63",2018,3,"GO",7478,1638,5840,2960,4518,72,0,0,0,0,7550,1638,5840,2960,4518
"64",2018,3,"MA",8628,2998,5630,4473,4155,113,0,0,0,0,8741,2998,5630,4473,4155
"65",2018,3,"MG",19395,4348,15047,6685,12710,191,0,0,0,0,19586,4348,15047,6685,12710
"66",2018,3,"MS",3361,1046,2315,1441,1920,23,0,0,0,0,3384,1046,2315,1441,1920
"67",2018,3,"MT",4492,961,3531,1937,2555,35,0,0,0,0,4527,961,3531,1937,2555
"68",2018,3,"PA",10445,4256,6189,5468,4977,123,0,0,0,0,10568,4256,6189,5468,4977
"69",2018,3,"PB",4298,1488,2810,1755,2543,53,0,0,0,0,4351,1488,2810,1755,2543
"70",2018,3,"PE",9953,3338,6615,4320,5633,100,0,0,0,0,10053,3338,6615,4320,5633
"71",2018,3,"PI",3939,1357,2582,1775,2164,51,0,0,0,0,3990,1357,2582,1775,2164
"72",2018,3,"PR",11819,2975,8844,4316,7503,81,0,0,0,0,11900,2975,8844,4316,7503
"73",2018,3,"RJ",15900,4044,11856,6108,9792,153,0,0,0,0,16053,4044,11856,6108,9792
"74",2018,3,"RN",3573,1183,2390,1407,2166,28,0,0,0,0,3601,1183,2390,1407,2166
"75",2018,3,"RO",2234,693,1541,984,1250,20,0,0,0,0,2254,693,1541,984,1250
"76",2018,3,"RR",1231,387,844,628,603,8,0,0,0,0,1239,387,844,628,603
"77",2018,3,"RS",11186,3217,7969,3712,7474,77,0,0,0,0,11263,3217,7969,3712,7474
"78",2018,3,"SC",7851,1825,6026,2633,5218,53,0,0,0,0,7904,1825,6026,2633,5218
"79",2018,3,"SE",2560,996,1564,1133,1427,34,0,0,0,0,2594,996,1564,1133,1427
"80",2018,3,"SP",45341,7286,38055,15033,30308,372,0,0,0,0,45713,7286,38055,15033,30308
"81",2018,3,"TO",1989,513,1476,925,1064,19,0,0,0,0,2008,513,1476,925,1064
"82",2018,4,"AC",1125,494,631,554,571,15,0,0,0,0,1140,494,631,554,571
"83",2018,4,"AL",3252,1426,1826,1654,1598,23,0,0,0,0,3275,1426,1826,1654,1598
"84",2018,4,"AM",6097,2267,3830,3116,2981,59,0,0,0,0,6156,2267,3830,3116,2981
"85",2018,4,"AP",964,353,611,502,462,9,0,0,0,0,973,353,611,502,462
"86",2018,4,"BA",13975,4478,9497,5669,8306,180,0,0,0,0,14155,4478,9497,5669,8306
"87",2018,4,"CE",8928,2852,6076,3655,5273,117,0,0,0,0,9045,2852,6076,3655,5273
"88",2018,4,"DF",3175,576,2599,1029,2146,24,0,0,0,0,3199,576,2599,1029,2146
"89",2018,4,"ES",4372,1205,3167,1591,2781,33,0,0,0,0,4405,1205,3167,1591,2781
"90",2018,4,"GO",7449,1615,5834,2993,4456,61,0,0,0,0,7510,1615,5834,2993,4456
"91",2018,4,"MA",8018,2846,5172,4153,3865,110,0,0,0,0,8128,2846,5172,4153,3865
"92",2018,4,"MG",19516,4491,15025,6749,12767,193,0,0,0,0,19709,4491,15025,6749,12767
"93",2018,4,"MS",3290,999,2291,1420,1870,35,0,0,0,0,3325,999,2291,1420,1870
"94",2018,4,"MT",4315,907,3408,1779,2536,33,0,0,0,0,4348,907,3408,1779,2536
"95",2018,4,"PA",9448,3831,5617,4927,4521,100,0,0,0,0,9548,3831,5617,4927,4521
"96",2018,4,"PB",4296,1546,2750,1778,2518,34,0,0,0,0,4330,1546,2750,1778,2518
"97",2018,4,"PE",9758,3354,6404,4308,5450,86,0,0,0,0,9844,3354,6404,4308,5450
"98",2018,4,"PI",3596,1209,2387,1598,1998,36,0,0,0,0,3632,1209,2387,1598,1998
"99",2018,4,"PR",11780,2873,8907,4421,7359,78,0,0,0,0,11858,2873,8907,4421,7359
"100",2018,4,"RJ",16064,4184,11880,6397,9667,183,0,0,0,0,16247,4184,11880,6397,9667
"101",2018,4,"RN",3369,1124,2245,1365,2004,38,0,0,0,0,3407,1124,2245,1365,2004
"102",2018,4,"RO",1847,583,1264,835,1012,16,0,0,0,0,1863,583,1264,835,1012
"103",2018,4,"RR",1108,360,748,563,545,6,0,0,0,0,1114,360,748,563,545
"104",2018,4,"RS",10544,3121,7423,3578,6966,86,0,0,0,0,10630,3121,7423,3578,6966
"105",2018,4,"SC",7362,1751,5611,2520,4842,57,0,0,0,0,7419,1751,5611,2520,4842
"106",2018,4,"SE",2525,965,1560,1053,1472,26,0,0,0,0,2551,965,1560,1053,1472
"107",2018,4,"SP",45542,7495,38047,15402,30140,351,0,0,0,0,45893,7495,38047,15402,30140
"108",2018,4,"TO",1838,424,1414,857,981,22,0,0,0,0,1860,424,1414,857,981
"109",2018,5,"AC",1314,590,724,650,664,7,0,0,0,0,1321,590,724,650,664
"110",2018,5,"AL",3647,1601,2046,1827,1820,38,0,0,0,0,3685,1601,2046,1827,1820
"111",2018,5,"AM",6459,2337,4122,3321,3138,78,0,0,0,0,6537,2337,4122,3321,3138
"112",2018,5,"AP",1276,418,858,601,675,24,0,0,0,0,1300,418,858,601,675
"113",2018,5,"BA",16270,5267,11003,6620,9650,196,0,0,0,0,16466,5267,11003,6620,9650
"114",2018,5,"CE",10132,3111,7021,4110,6022,108,0,0,0,0,10240,3111,7021,4110,6022
"115",2018,5,"DF",3630,696,2934,1136,2494,27,0,0,0,0,3657,696,2934,1136,2494
"116",2018,5,"ES",4870,1316,3554,1775,3095,40,0,0,0,0,4910,1316,3554,1775,3095
"117",2018,5,"GO",8822,1910,6912,3482,5340,64,0,0,0,0,8886,1910,6912,3482,5340
"118",2018,5,"MA",9076,3198,5878,4610,4466,112,0,0,0,0,9188,3198,5878,4610,4466
"119",2018,5,"MG",23160,5137,18023,7985,15175,195,0,0,0,0,23355,5137,18023,7985,15175
"120",2018,5,"MS",3969,1239,2730,1687,2282,37,0,0,0,0,4006,1239,2730,1687,2282
"121",2018,5,"MT",4911,1027,3884,2036,2875,39,0,0,0,0,4950,1027,3884,2036,2875
"122",2018,5,"PA",11043,4427,6616,5735,5308,118,0,0,0,0,11161,4427,6616,5735,5308
"123",2018,5,"PB",4948,1745,3203,2032,2916,43,0,0,0,0,4991,1745,3203,2032,2916
"124",2018,5,"PE",11214,3798,7416,4785,6429,94,0,0,0,0,11308,3798,7416,4785,6429
"125",2018,5,"PI",4091,1432,2659,1785,2306,51,0,0,0,0,4142,1432,2659,1785,2306
"126",2018,5,"PR",13789,3339,10450,4966,8823,96,0,0,0,0,13885,3339,10450,4966,8823
"127",2018,5,"RJ",18658,4897,13761,7218,11440,232,0,0,0,0,18890,4897,13761,7218,11440
"128",2018,5,"RN",3813,1222,2591,1532,2281,26,0,0,0,0,3839,1222,2591,1532,2281
"129",2018,5,"RO",2193,662,1531,997,1196,14,0,0,0,0,2207,662,1531,997,1196
"130",2018,5,"RR",1216,357,859,592,624,8,0,0,0,0,1224,357,859,592,624
"131",2018,5,"RS",12017,3460,8557,4135,7882,86,0,0,0,0,12103,3460,8557,4135,7882
"132",2018,5,"SC",8310,1959,6351,2793,5517,73,0,0,0,0,8383,1959,6351,2793,5517
