"","UF","name","popm","gdpc","microregion","microregion_name","region","region_name","urban","codmun6","month","nconcep","nconcep_educ_low","nconcep_educ_high","nconcep_age_young","nconcep_age_old","nfetal","nfetal_educ_low","nfetal_educ_high","nfetal_age_young","nfetal_age_old","totalconcep","totalconcep_educ_low","totalconcep_educ_high","totalconcep_age_young","totalconcep_age_old","deaths","lgdp","lpop","isolated","n"
"9400","SP","Botucatu",148130,31925.21,35023,"Botucatu",3,"Sudeste",1,"350750",5,144,19,125,55,89,1,0,1,1,0,145,19,126,56,89,99,10.3711512587961,11.9058455455761,0.434385179451978,31
"9401","SP","Bragança Paulista",170533,37813.45,35048,"Bragança Paulista",3,"Sudeste",1,"350760",2,178,27,151,53,125,0,0,0,0,0,178,27,151,53,125,75,10.5404201384245,12.0466841053647,0.304627987888721,29
"9402","SP","Bragança Paulista",170533,37813.45,35048,"Bragança Paulista",3,"Sudeste",1,"350760",3,163,24,139,61,102,1,0,1,0,1,164,24,140,61,103,105,10.5404201384245,12.0466841053647,0.409135060796171,31
"9403","SP","Bragança Paulista",170533,37813.45,35048,"Bragança Paulista",3,"Sudeste",1,"350760",4,152,23,129,37,115,1,1,0,0,1,153,24,129,37,116,92,10.5404201384245,12.0466841053647,0.472955364107545,30
"9404","SP","Bragança Paulista",170533,37813.45,35048,"Bragança Paulista",3,"Sudeste",1,"350760",5,188,25,163,57,131,0,0,0,0,0,188,25,163,57,131,96,10.5404201384245,12.0466841053647,0.435456089412355,31
"9405","SP","Braúna",5741,17435.66,35018,"Birigui",3,"Sudeste",1,"350770",2,4,0,4,1,3,0,0,0,0,0,4,0,4,1,3,3,9.76627281328286,8.65538869016764,0.297483052599661,29
"9406","SP","Braúna",5741,17435.66,35018,"Birigui",3,"Sudeste",1,"350770",3,4,0,4,3,1,0,0,0,0,0,4,0,4,3,1,6,9.76627281328286,8.65538869016764,0.388475103493545,31
"9407","SP","Braúna",5741,17435.66,35018,"Birigui",3,"Sudeste",1,"350770",4,6,0,6,1,5,0,0,0,0,0,6,0,6,1,5,7,9.76627281328286,8.65538869016764,0.398749166690975,30
"9408","SP","Braúna",5741,17435.66,35018,"Birigui",3,"Sudeste",1,"350770",5,11,1,10,3,8,0,0,0,0,0,11,1,10,3,8,4,9.76627281328286,8.65538869016764,0.371345474976636,31
"9409","SP","Brodowski",25277,27203.14,35014,"Ribeirão Preto",3,"Sudeste",1,"350780",2,18,6,12,7,11,1,0,1,1,0,19,6,13,8,11,11,10.2110876867977,10.1376501703328,0.296382540839969,29
"9410","SP","Brodowski",25277,27203.14,35014,"Ribeirão Preto",3,"Sudeste",1,"350780",3,20,6,14,7,13,0,0,0,0,0,20,6,14,7,13,14,10.2110876867977,10.1376501703328,0.373954794379021,31
"9411","SP","Brodowski",25277,27203.14,35014,"Ribeirão Preto",3,"Sudeste",1,"350780",4,27,8,19,8,19,0,0,0,0,0,27,8,19,8,19,17,10.2110876867977,10.1376501703328,0.412452772628481,30
"9412","SP","Brodowski",25277,27203.14,35014,"Ribeirão Preto",3,"Sudeste",1,"350780",5,32,11,21,11,21,0,0,0,0,0,32,11,21,11,21,18,10.2110876867977,10.1376501703328,0.363225202891322,31
"9413","SP","Brotas",24636,27225.67,35026,"Rio Claro",3,"Sudeste",1,"350790",2,26,5,21,7,19,1,0,1,0,1,27,5,22,7,20,16,10.211915557232,10.1119640668069,0.296763765239639,29
